Respondent_ID,C1,C2,C3,C4,C5,C6,C7,A1,A2,A3,A4,A5,A6,A7,HHR1,HHR2,HHR3,HHR4,HRR1,HRR2,HRR3,HRR4
ID_33,5,3,1,1,5,1,4,1,4,4,1,5,4,2,1,1,2,1,1,1,1,1
ID_34,4,5,1,2,4,2,4,4,3,3,2,4,4,2,1,1,2,2,2,4,4,3
ID_35,3,4,1,2,2,4,3,4,4,5,1,2,5,5,1,1,5,4,1,4,5,1
ID_36,3,3,3,3,3,2,2,3,4,3,2,3,4,2,2,1,4,2,2,2,2,2
ID_37,5,4,1,2,3,2,2,2,2,3,1,4,4,1,1,1,3,3,2,3,2,2
ID_38,4,4,2,2,4,2,4,2,2,4,2,4,4,4,2,4,4,2,4,4,4,4
ID_39,4,4,2,2,4,2,3,4,2,3,1,4,4,2,4,2,3,2,2,4,4,2
ID_40,3,2,3,3,2,4,3,4,4,3,2,2,3,3,2,2,4,3,4,3,4,4
ID_41,4,4,2,2,3,2,3,2,4,4,1,4,4,2,3,3,5,2,2,4,4,2
ID_42,4,4,2,3,3,2,4,3,3,3,3,3,2,2,3,3,2,2,4,4,4,2
ID_43,5,5,2,2,4,2,4,1,2,2,1,5,5,5,4,2,4,2,4,5,4,4
ID_44,4,4,3,4,4,2,4,2,3,4,1,2,4,4,4,3,3,2,4,5,5,3
ID_45,4,5,2,1,5,1,5,3,2,3,1,3,5,2,2,3,2,2,4,4,5,2
ID_46,4,4,2,2,4,3,3,3,3,3,1,4,4,3,2,2,3,2,3,3,4,3
ID_47,4,3,1,2,4,2,4,3,2,3,2,4,5,4,1,2,4,1,5,5,5,3
ID_48,4,4,2,2,4,2,3,1,2,4,1,5,4,4,1,2,2,1,4,2,4,2
ID_49,4,4,4,2,4,3,3,2,3,4,1,4,5,4,2,3,5,5,4,4,2,3
ID_50,5,5,1,2,5,1,5,2,1,4,2,3,1,4,1,2,4,3,5,5,5,3
ID_51,4,4,1,2,3,2,3,1,4,3,2,3,5,4,1,2,4,2,4,4,5,3
ID_52,4,4,2,2,4,2,4,2,4,5,2,5,3,2,2,3,2,2,2,4,5,4
ID_53,4,4,3,3,5,3,4,5,4,5,1,4,4,3,3,5,2,2,1,2,2,5
ID_54,4,4,2,1,4,2,3,2,4,4,3,1,4,3,3,2,1,1,1,4,4,1
ID_55,4,5,1,1,4,4,2,1,5,2,2,3,4,3,3,1,2,2,3,4,3,2
ID_56,5,5,1,1,5,1,5,1,1,1,1,5,4,2,2,3,4,2,5,5,4,4
ID_57,4,5,1,1,4,2,5,2,2,4,1,4,4,3,5,2,3,2,2,5,4,3
ID_58,4,4,2,2,4,2,4,2,4,5,2,4,4,3,2,1,4,3,2,3,2,4
ID_59,4,4,4,2,4,2,3,3,3,4,3,3,4,2,3,3,3,2,3,4,4,4
ID_60,4,5,1,2,4,2,4,2,2,4,2,4,3,3,4,3,4,2,2,4,4,4
ID_61,4,3,2,4,4,2,3,4,2,3,2,2,2,1,2,2,4,2,4,4,3,2
ID_62,4,4,1,2,4,1,4,2,2,4,5,5,4,3,2,2,3,2,2,3,4,3
ID_63,4,4,1,2,2,4,3,4,4,4,2,3,4,2,2,2,4,2,2,2,3,3
ID_64,4,4,2,3,3,3,4,4,4,3,2,3,4,3,1,2,4,4,3,4,4,3
ID_65,4,4,2,2,4,2,4,2,3,4,2,4,4,4,2,2,4,2,3,4,4,2
ID_66,5,5,1,1,4,1,5,1,1,4,1,3,4,2,1,2,1,1,2,5,3,4
ID_67,5,4,1,1,5,1,2,1,3,3,1,1,5,1,4,1,3,2,4,3,4,2
ID_68,4,5,2,2,4,2,4,1,2,3,2,3,4,3,4,4,3,2,4,4,4,4
ID_69,4,5,2,2,4,2,3,2,1,2,2,3,4,3,3,4,2,3,3,4,4,3
ID_70,5,4,2,1,4,1,2,1,1,2,4,4,5,5,4,4,1,2,3,4,5,2
ID_71,4,4,2,2,4,2,3,2,2,2,2,3,4,3,2,1,2,1,4,4,3,4
ID_72,5,2,3,3,4,2,3,2,3,4,1,4,3,2,1,3,2,1,2,5,5,4
ID_73,4,4,2,2,3,2,3,2,1,3,1,3,3,1,1,1,3,1,1,1,4,3
ID_74,5,5,2,2,4,1,2,4,5,5,2,5,2,1,1,1,5,1,1,1,5,1
ID_75,4,4,2,2,4,2,4,2,3,1,1,3,5,2,4,1,3,1,4,4,3,3
ID_76,4,5,2,3,4,2,3,2,3,5,1,2,3,3,3,1,1,1,1,4,4,4
ID_77,5,4,1,1,4,2,4,4,3,4,3,2,4,5,3,2,1,1,4,4,4,3
ID_78,5,5,1,1,5,1,5,1,1,3,3,5,5,5,4,4,3,1,5,1,5,4
ID_79,5,5,2,2,4,3,2,3,2,2,2,4,5,4,3,4,4,2,4,4,4,4
ID_80,4,4,2,2,4,3,4,1,2,2,1,3,4,1,3,2,3,2,1,5,2,2
ID_81,4,4,1,2,3,2,4,2,4,4,2,4,5,3,3,3,4,1,2,4,3,4
ID_82,3,3,4,5,3,4,1,5,3,4,3,1,3,1,2,3,5,5,2,2,2,1
ID_83,3,4,3,2,4,2,4,2,4,2,3,4,4,3,2,3,3,3,2,4,3,3
ID_84,4,2,3,1,3,2,4,3,2,3,4,3,3,4,1,3,4,4,3,4,3,4
ID_85,5,4,2,2,5,2,4,2,2,3,2,5,5,3,4,3,2,2,4,5,3,3
ID_86,5,5,2,2,4,1,4,3,1,4,3,3,3,4,3,4,4,1,4,4,5,4
ID_87,5,5,2,3,3,4,3,3,4,4,2,2,2,5,1,2,5,4,2,2,3,3
ID_88,4,4,2,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2
ID_89,4,4,2,2,4,2,4,2,2,2,2,4,3,2,3,3,4,2,3,5,3,3
ID_90,5,5,1,1,5,2,5,2,1,3,2,2,4,2,3,3,3,1,5,5,2,4
ID_91,4,4,2,1,4,1,4,4,1,3,2,3,2,1,3,3,1,1,1,4,1,3
ID_92,3,5,5,3,3,2,3,3,1,3,2,5,3,3,3,2,4,1,2,5,1,2
ID_93,4,4,2,2,3,3,4,2,2,3,2,3,4,3,3,2,2,2,2,3,4,2
ID_94,5,4,1,1,4,1,4,2,1,2,1,5,5,5,3,3,2,2,5,5,3,2
ID_95,4,4,2,2,4,2,4,2,2,3,2,5,4,4,4,3,2,2,4,4,4,4
ID_96,4,4,2,2,3,2,3,4,4,3,2,3,4,2,1,2,2,2,2,3,3,3
ID_97,5,5,1,1,3,1,4,1,1,1,2,5,5,4,2,2,1,1,4,5,1,1
ID_98,4,4,2,1,4,2,4,2,1,3,5,3,3,4,3,4,5,4,2,2,3,4
ID_99,4,3,2,2,3,2,3,2,3,3,2,4,4,3,2,2,3,3,2,4,4,2
ID_100,5,4,2,1,4,2,4,1,1,2,1,4,5,4,5,3,4,1,3,4,3,2
ID_101,5,4,2,2,5,2,4,2,2,3,4,2,4,4,1,1,4,3,5,4,3,4
ID_102,4,4,3,3,4,2,5,1,2,3,1,4,4,4,3,3,2,2,2,4,4,3
ID_103,5,4,2,2,4,2,4,2,2,3,2,4,4,4,3,3,2,1,3,4,4,2
ID_104,4,4,2,2,4,2,3,3,3,3,1,4,4,4,3,3,3,1,4,4,4,2
ID_105,4,4,2,2,4,1,4,2,4,3,2,4,5,4,3,2,4,2,5,5,4,4
ID_106,5,5,3,3,3,4,3,1,5,5,1,1,3,1,1,1,5,3,1,4,1,3
ID_107,4,4,2,2,4,2,4,4,2,3,1,4,4,4,3,2,4,3,3,4,4,4
ID_108,5,5,5,2,4,5,1,5,3,3,1,2,2,2,4,4,4,3,2,4,4,4
ID_109,5,4,1,2,4,2,4,1,3,4,2,4,4,4,5,2,4,2,4,4,3,3
ID_110,5,4,2,1,4,1,3,2,2,2,1,2,4,1,2,1,3,2,3,3,3,2
ID_111,3,5,2,2,4,2,3,3,1,2,3,3,3,2,3,4,4,2,2,4,3,4
ID_112,4,4,2,2,3,2,4,2,2,2,2,4,4,3,3,3,2,1,4,5,5,4
ID_113,4,3,4,1,5,1,5,3,1,3,3,3,5,5,3,3,2,1,5,5,5,4
ID_114,4,5,3,1,3,3,2,1,5,5,3,3,1,4,1,1,5,1,5,5,5,5
ID_115,4,5,2,5,4,2,2,4,4,2,4,2,4,2,2,4,4,2,2,2,4,2
ID_116,4,3,2,2,4,4,3,4,2,2,2,3,2,2,3,4,2,2,4,4,2,4
ID_117,4,4,2,2,4,2,4,2,3,4,3,4,4,4,4,3,2,2,3,4,3,4
ID_118,4,4,2,2,4,2,4,2,3,4,3,4,3,2,3,3,2,2,3,3,3,3
ID_119,3,4,1,3,5,1,5,2,1,4,1,3,3,2,4,3,2,1,4,4,3,2
ID_120,4,2,3,4,2,3,2,3,4,4,4,2,2,3,2,2,4,4,2,4,2,2
ID_121,4,4,2,2,4,2,3,2,2,3,4,4,3,2,3,3,3,2,3,3,2,2
ID_122,4,4,2,2,4,2,3,1,2,4,1,4,4,3,3,2,2,1,2,4,4,2
ID_123,5,5,2,2,5,2,4,2,2,3,2,5,5,5,3,3,2,2,5,5,4,4
ID_124,5,4,1,1,4,1,4,1,2,3,1,4,4,3,3,3,3,1,4,4,4,4
ID_125,4,3,1,2,5,1,5,2,1,2,2,3,4,2,2,2,2,1,3,2,2,2
ID_126,4,4,2,2,4,2,4,2,2,3,3,4,4,2,3,3,3,2,3,4,4,4
ID_127,1,4,3,3,1,1,1,3,4,4,2,2,3,2,2,1,3,3,1,3,1,1
ID_128,4,5,2,2,4,2,5,2,3,3,1,5,4,4,3,2,2,2,3,5,2,2
ID_129,5,4,1,1,3,1,3,1,2,3,1,4,3,2,3,1,3,1,1,4,1,3
ID_130,4,4,1,2,3,2,4,4,3,4,2,3,3,2,2,1,4,2,2,2,3,3
ID_131,4,4,3,2,4,2,3,2,2,2,2,5,4,3,2,2,3,3,2,2,5,3
ID_132,4,4,2,2,2,3,4,2,3,4,1,2,4,2,1,1,2,2,1,4,4,3
ID_133,4,4,2,2,3,3,3,2,3,3,2,3,3,4,3,4,3,3,2,3,3,3
ID_134,4,4,1,2,3,1,4,3,4,3,1,3,4,4,1,1,2,1,4,3,5,2
ID_135,4,5,2,2,3,2,4,2,4,3,2,4,5,2,4,1,4,4,4,3,4,4
ID_136,4,5,3,2,5,2,5,2,3,3,2,2,4,3,2,2,4,2,4,5,5,3
ID_137,5,4,2,1,5,2,4,2,2,2,2,4,4,4,3,3,3,2,2,4,4,3
ID_138,4,4,1,2,4,2,4,1,2,2,1,4,3,4,4,3,3,2,3,4,4,4
ID_139,5,5,1,1,5,1,5,2,3,3,1,3,5,3,3,3,3,1,3,3,3,4
ID_140,4,4,3,1,2,4,4,2,3,3,2,4,2,2,1,1,4,2,4,4,1,1
ID_141,5,4,1,2,5,1,5,1,1,3,1,5,1,4,1,3,4,2,3,5,5,4
ID_142,5,5,1,1,4,2,3,1,4,4,1,3,4,2,3,1,2,3,1,4,2,2
ID_143,4,4,1,1,5,2,4,2,3,3,1,4,4,4,1,2,2,2,2,5,4,3
ID_144,4,5,2,1,4,2,4,1,2,2,1,3,4,3,4,4,2,1,5,4,3,3
ID_145,4,4,1,2,4,3,3,2,4,4,2,3,2,1,3,2,2,2,2,4,4,4
ID_146,4,5,3,2,4,5,4,2,4,4,4,4,4,5,4,5,4,2,5,4,4,2
ID_147,4,4,2,2,4,2,4,2,2,2,3,5,4,2,1,2,1,1,2,3,4,4
ID_148,4,4,1,1,2,3,5,2,2,2,3,5,4,2,2,5,2,2,4,5,4,4
ID_149,4,4,2,2,4,2,3,2,2,4,1,3,4,4,4,4,2,2,3,4,4,4
ID_150,4,5,1,1,5,1,4,2,1,2,2,4,5,4,4,5,1,1,1,4,4,4
ID_151,4,4,1,2,4,2,3,2,2,3,2,4,5,2,3,3,3,2,2,4,2,3
ID_152,4,4,2,2,4,2,5,1,2,3,2,3,4,3,1,2,2,4,3,4,4,4
ID_153,4,4,3,1,4,1,3,1,3,3,3,4,4,3,3,4,4,2,2,5,3,5
ID_154,3,4,2,3,3,2,2,3,3,5,3,4,5,4,3,2,4,2,4,4,4,4
ID_155,4,4,2,2,4,1,3,3,3,3,1,5,4,4,1,2,1,1,3,4,5,3
ID_156,4,4,2,2,4,2,4,3,3,3,2,4,3,3,2,1,3,2,3,4,4,3
ID_157,4,4,3,3,4,4,4,3,3,3,3,3,4,2,3,4,3,2,2,3,4,4
ID_158,4,4,1,2,4,1,4,1,2,2,2,5,5,4,4,2,2,2,1,4,4,1
ID_159,2,4,2,4,3,5,3,3,5,5,3,2,3,3,2,2,5,4,3,3,3,2
ID_160,3,3,2,2,4,3,4,2,3,4,4,3,4,3,4,4,3,2,2,4,4,4
ID_161,4,4,3,3,4,2,4,2,3,4,2,3,4,3,3,3,2,2,4,4,4,3
ID_162,5,4,1,1,4,1,3,2,2,1,2,1,2,2,1,1,1,1,2,3,1,1
ID_163,4,4,2,2,4,2,4,2,2,3,3,3,3,3,2,3,1,2,3,4,4,4
ID_164,3,4,1,1,4,3,3,4,4,3,1,2,3,1,1,4,2,1,4,3,4,4
ID_165,4,4,4,3,4,3,4,3,2,3,3,4,4,3,3,3,3,3,4,4,4,4
ID_166,3,4,2,1,3,2,3,2,1,1,3,3,2,2,2,1,3,2,2,3,3,2
ID_167,5,5,1,1,5,1,4,1,3,5,1,5,5,5,5,3,5,1,3,5,2,2
ID_168,5,5,1,1,4,2,4,2,4,4,2,4,4,5,2,3,4,1,4,4,2,1
ID_169,4,4,2,2,4,2,5,3,2,2,2,3,4,2,3,3,3,1,4,5,5,3
ID_170,4,5,2,2,5,2,4,2,1,1,1,4,5,1,1,1,2,4,1,1,3,2
ID_171,5,4,1,1,5,2,5,1,2,3,3,4,4,4,4,4,1,1,5,5,5,4
ID_172,4,4,2,2,4,4,4,2,2,2,2,4,4,4,2,1,4,4,5,5,4,4
ID_173,2,3,2,2,3,3,2,5,2,2,4,2,3,2,1,1,2,2,2,4,4,4
ID_174,5,5,1,1,1,5,1,4,2,2,4,5,2,3,2,5,4,3,3,2,2,1
ID_175,4,5,2,1,4,2,4,2,2,2,2,4,4,4,3,4,2,1,4,4,4,5
ID_176,4,4,1,2,4,2,3,1,2,4,2,4,5,4,3,2,4,2,2,4,4,1
ID_177,3,3,1,2,3,2,3,3,2,4,1,2,3,3,3,2,2,2,2,3,1,2
ID_178,3,4,2,2,2,4,2,4,3,5,5,5,1,4,2,4,2,5,2,5,4,5
ID_179,5,4,1,1,5,1,3,1,1,1,3,3,4,4,5,3,2,1,3,3,4,3
ID_180,4,5,2,2,4,2,4,1,1,1,3,4,2,4,3,3,2,3,3,4,4,4
ID_181,5,5,1,1,5,1,5,2,1,2,1,5,5,3,3,4,2,2,1,5,5,3
ID_182,4,3,1,1,3,2,2,2,5,4,2,4,2,1,2,1,4,4,1,2,2,1
ID_183,4,4,2,2,4,1,5,2,3,2,1,4,4,4,2,1,3,1,3,5,5,2
ID_184,5,5,1,1,4,1,4,1,1,1,1,5,5,4,2,2,2,1,2,5,3,2
ID_185,3,3,1,2,4,2,4,2,5,4,1,4,2,2,1,1,3,2,1,4,4,3
ID_186,4,4,3,2,4,2,4,1,2,2,2,4,4,4,2,3,4,3,3,3,3,2
ID_187,4,4,2,2,4,2,3,2,4,2,2,4,4,4,2,1,2,2,4,5,4,4
ID_188,4,2,4,4,4,2,4,2,2,2,2,4,2,4,2,4,4,4,2,2,4,4
ID_189,3,4,2,3,3,2,4,3,2,3,2,3,3,3,1,1,3,2,4,2,4,2
ID_190,4,4,2,2,5,3,4,1,3,4,1,4,2,1,4,1,5,3,1,4,5,4
ID_191,5,5,1,1,4,1,3,1,1,1,1,4,5,4,4,2,1,1,3,4,4,4
